hfpxzc href,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,FQ2IWe src,ah5Ghc,Jn12ke src
https://www.google.com/maps/place/Wooddale+Church/data=!4m7!3m6!1s0x87f621fcfe4b313f:0x2eafaf9cde2831af!8m2!3d44.8807172!4d-93.4169909!16s%2Fm%2F02pvs7j!19sChIJPzFL_vwh9ocRrzEo3pyvry4?authuser=0&hl=en&rclk=1,Wooddale Church,4.5,-187,Church,Â·,î¤´,Â·,6630 Shady Oak Rd,Closed,â‹… Opens 8:30â€¯AM Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np9p1clsi3WYUDhcbahDK8TwKhJ8v0QoP3ulebx7AIo1otxOla4pN89PFm1gW_eMWmvTbZxGZ2SLjrCAmc7rbxrmQiGJH908slT8kV2V-e_e70RsRF0-hmIH_1U9TqR1-0fTwVX=w122-h92-k-no,,
https://www.google.com/maps/place/River+Valley+Church+-+Crosstown+Campus/data=!4m7!3m6!1s0x87f622177b0cba3d:0x55d723e57df0860a!8m2!3d44.8948504!4d-93.4177791!16s%2Fg%2F11xl7gfc0!19sChIJPboMexci9ocRCobwfeUj11U?authuser=0&hl=en&rclk=1,River Valley Church - Crosstown Campus,4.7,-128,Church,Â·,î¤´,Â·,10801 Red Cir Dr,Closed,â‹… Opens 9â€¯AM Thu,https://lh3.googleusercontent.com/p/AF1QipO612GjHqS8FKUpzhbEwWUQAF72RcMQ1lQztfkq=w163-h92-k-no,,
https://www.google.com/maps/place/Oasis+Church/data=!4m7!3m6!1s0x87f61f9a9bc82c05:0x305c3194daacb7d9!8m2!3d44.9202078!4d-93.4313118!16s%2Fg%2F1vfwddz0!19sChIJBSzIm5of9ocR2bes2pQxXDA?authuser=0&hl=en&rclk=1,Oasis Church,4.7,-21,Assemblies of God church,Â·,î¤´,Â·,11901 Excelsior Blvd,Closed,â‹… Opens 10â€¯AM Sun,https://lh3.googleusercontent.com/p/AF1QipO78CG6MhcSR_To69CLlTu0ha--qoB_t3WD0xpU=w163-h92-k-no,Onsite services,
https://www.google.com/maps/place/Cross+View+Lutheran+Church/data=!4m7!3m6!1s0x87f6219135198d47:0xc23402d92e3da17e!8m2!3d44.8893364!4d-93.3927773!16s%2Fg%2F1tdky72r!19sChIJR40ZNZEh9ocRfqE9LtkCNMI?authuser=0&hl=en&rclk=1,Cross View Lutheran Church,4.6,-28,Church,Â·,î¤´,Â·,6645 McCauley Trail W,Closed,â‹… Opens 9â€¯AM Thu,https://lh3.googleusercontent.com/p/AF1QipMoNS5isZX47BMPH416OHBkkFcBnozqhHHLqb05=w137-h92-k-no,Onsite services,
https://www.google.com/maps/place/City+Hill+Church/data=!4m7!3m6!1s0x87f618ca3df1513b:0x666030c4c2c68a73!8m2!3d44.8698758!4d-93.4410772!16s%2Fg%2F1tg168vp!19sChIJO1HxPcoY9ocRc4rGwsQwYGY?authuser=0&hl=en&rclk=1,City Hill Church,5,-22,Evangelical church,Â·,î¤´,Â·,12901 Roberts Dr,Closed,â‹… Opens 10â€¯AM Thu,https://lh3.googleusercontent.com/p/AF1QipN_eKiuLltCtyQZpYN_g4JTFRfyPDa6P_2BHt34=w213-h92-k-no,,
https://www.google.com/maps/place/St+Gabriel+the+Archangel+Catholic+Church/data=!4m7!3m6!1s0x87f620270263b271:0x5583a0815c365f3e!8m2!3d44.9242605!4d-93.4168188!16s%2Fg%2F1tvtbxkh!19sChIJcbJjAicg9ocRPl82XIGgg1U?authuser=0&hl=en&rclk=1,St Gabriel the Archangel Catholic Church,4.6,-61,Catholic church,Â·,î¤´,Â·,1310 Mainstreet,Closed,â‹… Opens 8:30â€¯AM Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqAXggG3LY1MVDXLQiU4m77W1ZGDVR7cjVB6wr6KSr1dv_9dNEBbB7lNBkDfmr8CJUsk3JMKg61ifWncuKpJKjC_JSAzMzT3f35fgOhhBMQ0rvojsOXVwc548XziTs8CKAaDiL4=w163-h92-k-no,,
https://www.google.com/maps/place/Faith+Church+Minnetonka/data=!4m7!3m6!1s0x87f61f9a68e97163:0xb9cd1cef35eeac58!8m2!3d44.9203771!4d-93.433102!16s%2Fg%2F1vhkl2w2!19sChIJY3HpaJof9ocRWKzuNe8czbk?authuser=0&hl=en&rclk=1,Faith Church Minnetonka,4.5,-25,Presbyterian church,Â·,î¤´,Â·,12007 Excelsior Blvd,Closed,â‹… Opens 10â€¯AM Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noxqYr_Yb-5F9CovYg53gZVtdhB7cp-v-smv6pmDvneSb8EMhkQ28phBVVSC3PPv9cAR60OcvjoATAsy_WuSfldBM4GmrijFkn9zzAbGy8bbiQ0oLlnTo-tzUgO9_83ZtPbXgC7=w122-h92-k-no,,
https://www.google.com/maps/place/Meetinghouse+Church+%28Formerly+Colonial+Church%29/data=!4m7!3m6!1s0x87f62173ee44f38b:0x5e9be8cd2d52a7e6!8m2!3d44.8904319!4d-93.3728654!16s%2Fg%2F1vntkg1h!19sChIJi_NE7nMh9ocR5qdSLc3om14?authuser=0&hl=en&rclk=1,Meetinghouse Church (Formerly Colonial Church),4.7,-40,Christian church,Â·,î¤´,Â·,6200 Colonial Way,Closed,â‹… Opens 8â€¯AM Thu,https://lh3.googleusercontent.com/p/AF1QipN1M_P6SIdiRmt0UqS7kMaI5NstoSgsEyCCR_Ne=w138-h92-k-no,,
https://www.google.com/maps/place/Destiny+Hill+Church/data=!4m7!3m6!1s0x87f61fb9ad34ffff:0xcbd5c6e6470025f8!8m2!3d44.9270759!4d-93.4479744!16s%2Fg%2F11g8v0w1b5!19sChIJ__80rbkf9ocR-CUAR-bG1cs?authuser=0&hl=en&rclk=1,Destiny Hill Church,5,-17,Church of Christ,Â·,î¤´,Â·,13207 Lake Street Extension,Closed,â‹… Opens 10â€¯AM Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrtZdcy6BeEVmlOmcdMlrYX9QAHddEZFn8_QuKdZlCuz27KuYyvgDF7MLKgMo6BV5i6qHCVRJHNU3txwBR4ApuQUG9wypUJxeL7i8nOTu-jzIMcJznzogL4Cl4iK0NLebPncAQi=w163-h92-k-no,,
https://www.google.com/maps/place/Church+of+the+Cross/data=!4m7!3m6!1s0x87f620231c8ec803:0xd70d08454b996e81!8m2!3d44.9281855!4d-93.4107928!16s%2Fg%2F1tg3bnpq!19sChIJA8iOHCMg9ocRgW6ZS0UIDdc?authuser=0&hl=en&rclk=1,Church of the Cross,4.4,-18,Anglican church,Â·,î¤´,Â·,201 9th Ave N,Closed,â‹… Opens 10â€¯AM Thu,https://lh3.googleusercontent.com/p/AF1QipOYmAIIrg5TLXcPy_DZ1cTDr5lzrx-jLmn2hkou=w138-h92-k-no,,
https://www.google.com/maps/place/Life+Church/data=!4m7!3m6!1s0x87f618d471f6bf4b:0x4b0c315d29960159!8m2!3d44.8698116!4d-93.4554923!16s%2Fg%2F1vd95nn1!19sChIJS7_2cdQY9ocRWQGWKV0xDEs?authuser=0&hl=en&rclk=1,Life Church,4.7,-12,Church,Â·,î¤´,Â·,14100 Valley View Rd,Closed,â‹… Opens 7â€¯PM Fri,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqTAq9RKHJSvaQlgUwdA55Qv3wsMAwn-_ssQQwBAszA4v9C9FiHtHcoCl9oULqlN_0jkSkRk2Fr1DPENmmuXyOjBmW6y3_BpdS6EHYZuz9VvEd6265Yubb7ND2fIGi9Ju38v73m9A=w163-h92-k-no,,
https://www.google.com/maps/place/Church+of+St.+Patrick+of+Edina/data=!4m7!3m6!1s0x87f62181fa53c2e7:0x7205d6ddce10099e!8m2!3d44.8787181!4d-93.38103!16s%2Fg%2F1tj5lqfx!19sChIJ58JT-oEh9ocRngkQzt3WBXI?authuser=0&hl=en&rclk=1,Church of St. Patrick of Edina,4.5,-39,Catholic church,Â·,î¤´,Â·,6820 St Patricks Ln,Closed,â‹… Opens 8:30â€¯AM Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqo5Ia3pE5j7P6Em0-xHFfdlcx3tIa6e5qNVIguwQbAJuehPte3kaHFUNEi2xhEKJePHTCV5Wq04VMTxmZA1_l5lCOHQQKgkM-pW9eYI_tYWEkR1mXyWc2wIGf4gTFqEv_X-wPdAQ=w163-h92-k-no,,
https://www.google.com/maps/place/Our+Lady+of+Grace+Catholic+Church/data=!4m7!3m6!1s0x87f621269066cd6d:0x79ca54d9fe747d86!8m2!3d44.9068519!4d-93.3524757!16s%2Fg%2F1tfvhs54!19sChIJbc1mkCYh9ocRhn10_tlUynk?authuser=0&hl=en&rclk=1,Our Lady of Grace Catholic Church,4.8,-155,Catholic church,Â·,î¤´,Â·,5071 Eden Ave,Closed,â‹… Opens 8:30â€¯AM Thu,https://lh3.googleusercontent.com/p/AF1QipOaiocf3114vtuBojzkwBmRIl2gPFmDmL-hOWno=w138-h92-k-no,,
