clinic_name,website,address,phone,email_addresses
LifeStance Therapists & Psychiatrists Plymouth,https://lifestance.com/location/plymouth-mn-3007-harbor-ln-n/?utm_source=gmb&utm_medium=organic&utm_campaign=locations,3007 Harbor Ln N Suite 1600,(763) 230-2917,
LifeStance Therapists & Psychiatrists St Louis Park,https://lifestance.com/location/st-louis-park-mn-5353-wayzata-blvd/?utm_source=gmb&utm_medium=organic&utm_campaign=locations,5353 Wayzata Blvd #200,(952) 222-8383,
Catalyst Mental Health,http://www.catalystmentalhealth.com/,1915 Lyndale Ave S,(800) 336-5973,info@catalystmentalhealth.com
"Mental Health Systems, Inc",https://www.mhs-dbt.com/locations/northwest-metro,·,(952) 835-2002,info@mhs-dbt.com
Phoenix Mental Health,http://phoenix-mental-health.com/,·,(612) 444-6090,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
All In Therapy Clinic,https://allintherapyclinic.com/,·,(651) 271-1665,hello@allintherapyclinic.com
All In Therapy Clinic,https://allintherapyclinic.com/,·,(651) 271-1665,HELLO@ALLINTHERAPYCLINIC.COM
Healthwise Behavioral Health & Wellness - Plymouth,http://www.behavioralhealthmn.com/?utm_source=PRIME&utm_medium=PLSN&utm_id=Prime+Local+Search&y_source=1_MTU1OTk4NjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,18205 45th Ave N STE C,(763) 400-7828,Info@healthwisepsychology.com
Plymouth Psych Group,http://www.plymouthpsychgroup.com/,9655 Schmidt Lake Rd Suite 150,(763) 559-1640,heidi.carey@plymouthpsychgroup.com
Behavioral Health Services,http://www.bhsiclinics.com/,8441 Wayzata Blvd # 140,(651) 769-6300,
Reed Behavioral Health,https://reedhealthcare.org/,15600 Wayzata Blvd Suite 301,(763) 292-2368,info@reedhealthcare.org
Choices Psychotherapy - Minnetonka,https://choicespsychotherapy.net/?utm_campaign=gmb,10201 Wayzata Blvd Ste. 100,(952) 544-6806,
"Journey Counseling Center, LLC",https://melissaericksonmn.com/,801 Twelve Oaks Center Dr Suite 822,(612) 800-4410,user@domain.com
"Journey Counseling Center, LLC",https://melissaericksonmn.com/,801 Twelve Oaks Center Dr Suite 822,(612) 800-4410,melissa@melissaericksonmn.com
Cedar Mental health,https://cedarmentalhealthmn.com/,10501 Wayzata Blvd Suite 103,(612) 424-9790,info@cedarmentalhealthmn.com
